"country","controlofcorruption","governmenteffectiveness","politicalstability","regulatoryquality","ruleoflaw","voiceandaccountability"
"Marshall Islands",-0.043416277,-1.470598102,0.862585425,-1.116793513,-0.033094067,1.136615634
"Mauritania",-0.861584544,-0.498212457,-0.542216599,-0.75933969,-0.582717896,-0.780213714
"Mauritius",0.317111999,0.871139884,0.822039843,0.9965204,0.763576627,0.808141053
"Mexico",-0.821080089,-0.157008395,-0.714570999,0.103679791,-0.658103585,0.018328277
"Micronesia, Fed. Sts.",0.749716163,-0.18708165,0.996412396,-0.96030134,0.024115654,1.094264627
"Moldova",-0.618684769,-0.38340494,-0.382797062,0.00978671,-0.373028576,-0.089936249
"Mongolia",-0.441760749,-0.194830313,0.643491685,-0.011241985,-0.266293049,0.348968863
"Montenegro",-0.030126255,0.156257585,0.010601907,0.365231484,0.095744796,0.026663328
"Morocco",-0.276536316,-0.119225241,-0.369398355,-0.211528361,-0.13564913,-0.626805365
"Mozambique",-0.801014543,-0.823289573,-0.745438576,-0.724764347,-1.020184398,-0.50823468
"Myanmar",-0.625195503,-1.149869204,-1.261767268,-0.760392845,-1.062783837,-0.837773204
"Namibia",0.372481108,0.09664949,0.533919811,-0.108908258,0.309980124,0.542189777
"Nauru",-0.449302703,-0.129480436,0.862585425,-0.033193633,-0.76369077,0.628404498
"Nepal",-0.674093843,-1.04519999,-0.465630263,-0.701375127,-0.535534143,-0.130642936
"Netherlands",1.999757528,1.798007965,0.857251942,1.861078739,1.80846715,1.564838171
"New Zealand",2.170070648,1.670903683,1.507664919,1.880906582,1.884738922,1.569034576
"Nicaragua",-1.121843696,-0.770874381,-1.034827709,-0.689058125,-1.175689936,-1.077089667
"Niger",-0.554166257,-0.80106169,-1.403038383,-0.66870445,-0.532931209,-0.565368891
"Nigeria",-1.094947934,-1.088633537,-1.934673548,-0.86098516,-0.897982121,-0.412996024
"North Macedonia",-0.409463704,-0.002485754,-0.049200501,0.508784473,-0.243436337,-0.001560196
"Norway",2.073468208,1.862291574,1.186128139,1.804054618,1.984915257,1.686954975
"Oman",0.452128917,0.259309322,0.593484759,0.292457134,0.554403901,-1.136281371
"Pakistan",-0.846740663,-0.677004695,-2.246335745,-0.644478917,-0.667578697,-0.843350768
"Palau",-0.449302703,-0.045422144,0.862585425,-0.007540999,0.314457625,1.094264627
"Panama",-0.579923987,0.065540187,0.306804925,0.361896962,-0.119034983,0.621713281
"Papua New Guinea",-0.991638184,-0.808679044,-0.826107204,-0.542546391,-0.800973058,0.074042112
"Paraguay",-0.829310238,-0.533756673,-0.001913156,-0.203458011,-0.556403399,0.08214248
"Peru",-0.447690785,-0.06754566,-0.14173454,0.563906133,-0.487202644,0.286283851
"Philippines",-0.573345542,0.05296817,-0.884965718,0.009308159,-0.477300704,0.030184245
"Poland",0.602715015,0.601629198,0.521514893,1.014123678,0.452092975,0.698261857
"Portugal",0.763995349,1.154005408,1.128248453,0.969747007,1.135676861,1.238782763
"Puerto Rico",0.013092993,-0.164273635,0.123383127,0.731959105,0.587339818,0.495672584
"Qatar",0.848995924,0.705206752,0.704695404,0.679329932,0.734318435,-1.2906183
"Romania",-0.128240466,-0.281243801,0.525505424,0.462053597,0.364004612,0.485139728
"Russian Federation",-0.831873178,0.150364876,-0.542303979,-0.431622446,-0.723688543,-1.10008204
"Rwanda",0.564346015,0.185022682,0.115672179,0.077384301,0.076188184,-1.079367995
"São Tomé and Principe",0.225845516,-0.626913965,0.515637279,-0.907069504,-0.679702342,0.372766882
"Samoa",0.64063555,0.43641302,1.120510936,-0.22384204,1.077064157,0.74770087
"Saudi Arabia",0.274639338,0.306444883,-0.42799598,-0.068194851,0.16855593,-1.616917133
"Senegal",0.048484433,-0.057369385,0.057363916,-0.112239763,-0.190760314,0.260385394
"Serbia",-0.445551485,0.019078735,-0.091665111,0.113867104,-0.119069755,0.026626127
"Seychelles",0.969212651,0.517941356,0.689437032,-0.153052673,0.171436086,0.335669965
"Sierra Leone",-0.411361068,-1.12659514,-0.098183274,-0.881993651,-0.766363084,-0.096366957
"Singapore",2.159476519,2.221086025,1.531602263,2.161376715,1.878558874,-0.183365434
"Slovak Republic",0.327202708,0.673901677,0.782788157,1.006780267,0.556735694,0.910998702
"Slovenia",0.90589869,1.081404448,0.816754103,1.008839488,1.118420839,1.007424474
"Solomon Islands",-0.007403989,-0.997201562,0.501783967,-0.832248569,-0.139867559,0.598053277
"Somalia",-1.709963202,-2.237149,-2.383226633,-2.203132153,-2.350358248,-1.835273623
"South Africa",0.084923856,0.367380232,-0.217930853,0.156171724,-0.076407678,0.670388222
"South Sudan",-1.773724198,-2.451555252,-2.558902025,-2.048964739,-1.969724417,-1.974808574
"Spain",0.646796107,0.999044657,0.322872758,1.050189734,0.979052186,1.085453153
"Sri Lanka",-0.319470078,-0.113549873,-0.228124186,-0.184370413,-0.011983425,-0.042583749
"St. Kitts and Nevis",0.385066181,0.542592645,0.728276253,0.502085388,0.479795307,0.844554722
"St. Lucia",0.524742961,0.225849628,0.926193774,0.234965339,0.569129467,0.928154707
"St. Vincent and the Grenadines",0.781556487,0.225849628,0.959708989,0.212232471,0.446356237,0.927590549
"Sudan",-1.366984963,-1.621904731,-1.673614144,-1.673834324,-1.140473485,-1.635967851
"Suriname",-0.393237323,-0.590061367,0.113403305,-0.679551423,-0.059651226,0.389782548
"Sweden",2.11847806,1.829900622,1.051790595,1.801674843,1.90652597,1.592260122
"Switzerland",1.977294922,1.952120066,1.336993456,1.664479136,1.906641483,1.527955413
"Syrian Arab Republic",-1.688552737,-1.711279273,-2.727996349,-1.757903457,-2.076063395,-1.979875207
"Taiwan, China",1.045265555,1.436753511,0.719597697,1.40275979,1.141121149,0.99590826
"Tajikistan",-1.321172595,-1.049005389,-0.575148106,-1.011065483,-1.227941275,-1.82959342
"Tanzania",-0.390870929,-0.879050434,-0.362047076,-0.640906215,-0.577931345,-0.503790975
"Thailand",-0.407398492,0.35705635,-0.537558079,0.116104968,0.102881573,-0.827271283
"Timor-Leste",-0.382982701,-0.884692371,0.239870265,-0.784346998,-1.111014843,0.382766396
